Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,9871,140,13,66.05735676680887,9.364373998323572,1742.1467449985357,850.256508965657,166.98484817880976,2.3683394534528786,13,15,29,35,41,210,1100,1400,1700,1700,1700
,Aggregated,9871,140,13,66.05735676680887,9.364373998323572,1742.1467449985357,850.256508965657,166.98484817880976,2.3683394534528786,13,15,29,35,41,210,1100,1400,1700,1700,1700
