Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,18270,1199,61,290.7832899482752,8.676472999923135,2686.0072900003615,807.6610837438424,308.6822331642821,20.25779953825803,61,100,160,600,1100,1200,1700,2100,2400,2400,2700
,Aggregated,18270,1199,61,290.7832899482752,8.676472999923135,2686.0072900003615,807.6610837438424,308.6822331642821,20.25779953825803,61,100,160,600,1100,1200,1700,2100,2400,2400,2700
