Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2015,0,10,22.868457351367777,8.941657999912422,310.5668059999971,862.0,34.10785292000195,0.0,10,11,16,32,35,64,180,230,310,310,310
,Aggregated,2015,0,10,22.868457351367777,8.941657999912422,310.5668059999971,862.0,34.10785292000195,0.0,10,11,16,32,35,64,180,230,310,310,310
